# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 7.000000e-01
# Aref        : 1.820000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0             	-3.318586e-05	9.139639e-03	-1.580986e-05	-4.109079e-05	2.528092e-05
1             	3.244587e-04	2.360800e-02	4.528742e-04	5.508957e-04	-9.802158e-05
2             	6.535248e-04	3.544156e-02	8.464037e-04	1.076727e-03	-2.303229e-04
3             	9.041821e-04	4.447460e-02	1.150989e-03	1.479677e-03	-3.286875e-04
4             	1.116039e-03	5.052415e-02	1.399647e-03	1.815863e-03	-4.162155e-04
5             	1.311391e-03	5.430662e-02	1.619791e-03	2.121287e-03	-5.014960e-04
6             	1.526722e-03	5.648197e-02	1.848496e-03	2.450970e-03	-6.024737e-04
7             	1.732984e-03	5.762998e-02	2.058281e-03	2.762124e-03	-7.038438e-04
8             	1.900332e-03	5.814938e-02	2.219955e-03	3.010310e-03	-7.903548e-04
9             	1.997560e-03	5.825457e-02	2.306678e-03	3.150899e-03	-8.442208e-04
10            	2.039439e-03	5.809878e-02	2.333359e-03	3.206119e-03	-8.727593e-04
11            	2.000062e-03	5.777904e-02	2.276950e-03	3.138537e-03	-8.615874e-04
12            	1.925534e-03	5.736319e-02	2.185318e-03	3.018193e-03	-8.328750e-04
13            	1.839025e-03	5.691000e-02	2.084101e-03	2.881075e-03	-7.969742e-04
14            	1.749537e-03	5.647061e-02	1.980314e-03	2.739694e-03	-7.593802e-04
15            	1.675387e-03	5.604708e-02	1.892969e-03	2.621872e-03	-7.289024e-04
16            	1.609484e-03	5.567114e-02	1.819370e-03	2.519169e-03	-6.997988e-04
17            	1.551362e-03	5.535859e-02	1.754778e-03	2.428751e-03	-6.739730e-04
18            	1.495964e-03	5.509851e-02	1.697196e-03	2.344562e-03	-6.473659e-04
19            	1.443828e-03	5.490274e-02	1.644328e-03	2.265992e-03	-6.216638e-04
20            	1.391156e-03	5.475883e-02	1.595085e-03	2.188698e-03	-5.936137e-04
21            	1.344411e-03	5.465718e-02	1.552051e-03	2.120437e-03	-5.683859e-04
22            	1.304520e-03	5.459168e-02	1.513828e-03	2.061434e-03	-5.476059e-04
23            	1.267153e-03	5.455181e-02	1.481385e-03	2.007845e-03	-5.264606e-04
24            	1.238689e-03	5.453020e-02	1.454930e-03	1.966154e-03	-5.112237e-04
25            	1.211289e-03	5.452562e-02	1.431159e-03	1.926869e-03	-4.957098e-04
26            	1.187060e-03	5.452670e-02	1.411335e-03	1.892728e-03	-4.813924e-04
27            	1.169184e-03	5.453501e-02	1.395613e-03	1.866991e-03	-4.713778e-04
28            	1.152441e-03	5.454823e-02	1.382269e-03	1.843576e-03	-4.613072e-04
29            	1.140708e-03	5.456817e-02	1.372881e-03	1.827149e-03	-4.542677e-04
30            	1.131846e-03	5.458527e-02	1.366374e-03	1.815033e-03	-4.486592e-04
31            	1.128374e-03	5.460644e-02	1.363381e-03	1.810064e-03	-4.466829e-04
32            	1.125117e-03	5.462450e-02	1.362890e-03	1.806561e-03	-4.436716e-04
33            	1.127340e-03	5.464337e-02	1.364964e-03	1.809822e-03	-4.448581e-04
34            	1.128354e-03	5.466248e-02	1.367723e-03	1.812216e-03	-4.444923e-04
35            	1.133325e-03	5.467481e-02	1.372406e-03	1.819528e-03	-4.471223e-04
36            	1.137775e-03	5.469009e-02	1.377861e-03	1.826706e-03	-4.488444e-04
37            	1.143114e-03	5.470022e-02	1.383081e-03	1.834654e-03	-4.515731e-04
38            	1.149316e-03	5.471428e-02	1.389434e-03	1.844033e-03	-4.545984e-04
39            	1.156513e-03	5.472060e-02	1.395348e-03	1.854188e-03	-4.588393e-04
40            	1.162852e-03	5.473129e-02	1.401027e-03	1.863366e-03	-4.623387e-04
41            	1.167447e-03	5.473739e-02	1.406842e-03	1.870868e-03	-4.640255e-04
42            	1.174080e-03	5.473968e-02	1.412606e-03	1.880382e-03	-4.677768e-04
43            	1.181215e-03	5.474557e-02	1.417689e-03	1.890059e-03	-4.723707e-04
44            	1.184546e-03	5.475106e-02	1.422559e-03	1.895825e-03	-4.732659e-04
45            	1.191894e-03	5.474977e-02	1.427809e-03	1.905798e-03	-4.779892e-04
46            	1.196438e-03	5.475711e-02	1.432216e-03	1.912546e-03	-4.803301e-04
47            	1.202321e-03	5.475509e-02	1.437011e-03	1.920827e-03	-4.838156e-04
48            	1.207745e-03	5.475921e-02	1.442340e-03	1.928915e-03	-4.865749e-04
49            	1.213063e-03	5.475874e-02	1.446931e-03	1.936529e-03	-4.895977e-04
50            	1.218512e-03	5.476464e-02	1.451545e-03	1.944284e-03	-4.927391e-04
51            	1.222952e-03	5.476315e-02	1.456343e-03	1.951123e-03	-4.947804e-04
52            	1.227735e-03	5.476627e-02	1.460038e-03	1.957754e-03	-4.977164e-04
53            	1.233701e-03	5.476562e-02	1.465487e-03	1.966444e-03	-5.009570e-04
54            	1.237956e-03	5.476576e-02	1.469363e-03	1.972638e-03	-5.032746e-04
55            	1.242737e-03	5.476434e-02	1.472926e-03	1.979199e-03	-5.062738e-04
56            	1.246724e-03	5.476790e-02	1.477072e-03	1.985260e-03	-5.081876e-04
57            	1.250612e-03	5.476205e-02	1.480434e-03	1.990830e-03	-5.103951e-04
58            	1.255111e-03	5.476799e-02	1.483557e-03	1.996889e-03	-5.133321e-04
59            	1.258478e-03	5.476510e-02	1.487209e-03	2.002082e-03	-5.148737e-04
60            	1.263247e-03	5.476349e-02	1.490523e-03	2.008508e-03	-5.179853e-04
61            	1.265930e-03	5.476468e-02	1.493512e-03	2.012687e-03	-5.191742e-04
62            	1.268850e-03	5.476273e-02	1.496567e-03	2.017133e-03	-5.205666e-04
63            	1.274237e-03	5.476199e-02	1.500182e-03	2.024328e-03	-5.241460e-04
64            	1.277531e-03	5.476122e-02	1.503517e-03	2.029290e-03	-5.257727e-04
65            	1.281097e-03	5.476010e-02	1.507062e-03	2.034628e-03	-5.275659e-04
66            	1.285805e-03	5.476104e-02	1.511133e-03	2.041371e-03	-5.302387e-04
67            	1.290696e-03	5.475353e-02	1.514775e-03	2.048084e-03	-5.333090e-04
68            	1.294282e-03	5.475991e-02	1.518627e-03	2.053595e-03	-5.349684e-04
69            	1.299610e-03	5.475236e-02	1.523404e-03	2.061311e-03	-5.379078e-04
70            	1.304283e-03	5.475337e-02	1.527764e-03	2.068165e-03	-5.404010e-04
71            	1.310248e-03	5.475359e-02	1.532777e-03	2.076636e-03	-5.438596e-04
